Component,Dependency
"common/svelte/DataTypeTreeSelector.svelte","common/svelte/SearchInput.svelte"
"common/svelte/DatePicker.svelte","common/svelte/Icon.svelte"
"common/svelte/DateTime.svelte",
"common/svelte/DescriptionFade.svelte","common/svelte/Markdown.svelte"
"common/svelte/DescriptionFade.svelte","common/svelte/Icon.svelte"
"common/svelte/DropdownPicker.svelte","common/svelte/Icon.svelte"
"common/svelte/EntityIcon.svelte","common/svelte/Icon.svelte"
"common/svelte/EntityLabel.svelte","common/svelte/EntityIcon.svelte"
"common/svelte/EntityLink.svelte","common/svelte/ViewLink.svelte"
"common/svelte/EntityLink.svelte","common/svelte/EntityLabel.svelte"
"common/svelte/EntitySearchSelector.svelte","common/svelte/EntityLabel.svelte"
"common/svelte/EntityStatisticTreeSelector.svelte","common/svelte/SearchInput.svelte"
"common/svelte/EntityStatisticTreeSelector.svelte","common/svelte/StatisticTreeNode.svelte"
"common/svelte/FlowRatingCell.svelte",
"common/svelte/Grid.svelte","common/svelte/Icon.svelte"
"common/svelte/GridWithCellRenderer.svelte","common/svelte/Icon.svelte"
"common/svelte/Icon.svelte",
"common/svelte/ImageDownloadLink.svelte","common/svelte/Icon.svelte"
"common/svelte/LastEdited.svelte","common/svelte/DateTime.svelte"
"common/svelte/LoadingPlaceholder.svelte","common/svelte/Icon.svelte"
"common/svelte/Markdown.svelte",
"common/svelte/MeasurableTreeNode.svelte","common/svelte/Icon.svelte"
"common/svelte/MeasurableTreeSelector.svelte","common/svelte/MeasurableTreeNode.svelte"
"common/svelte/MeasurableTreeSelector.svelte","common/svelte/SearchInput.svelte"
"common/svelte/MiniActions.svelte","common/svelte/Icon.svelte"
"common/svelte/NoData.svelte",
"common/svelte/PageHeader.svelte","common/svelte/Icon.svelte"
"common/svelte/PersonList.svelte","common/svelte/Icon.svelte"
"common/svelte/PersonList.svelte","common/svelte/EntityLabel.svelte"
"common/svelte/PersonList.svelte","common/svelte/EntitySearchSelector.svelte"
"common/svelte/Pill.svelte",
"common/svelte/RatingCharacteristicsDecorator.svelte","common/svelte/FlowRatingCell.svelte"
"common/svelte/RatingPicker.svelte","ratings/components/rating-indicator-cell/RatingIndicatorCell.svelte"
"common/svelte/RatingPicker.svelte","common/svelte/Icon.svelte"
"common/svelte/SavingPlaceholder.svelte","common/svelte/Icon.svelte"
"common/svelte/SearchInput.svelte","common/svelte/Icon.svelte"
"common/svelte/Section.svelte","common/svelte/Icon.svelte"
"common/svelte/StaticPanel.svelte","common/svelte/Markdown.svelte"
"common/svelte/StaticPanel.svelte","common/svelte/Icon.svelte"
"common/svelte/StaticPanels.svelte","common/svelte/StaticPanel.svelte"
"common/svelte/StatisticTreeNode.svelte","common/svelte/Icon.svelte"
"common/svelte/SubSection.svelte",
"common/svelte/TagsInput.svelte",
"common/svelte/TextClipper.svelte",
"common/svelte/TextEditableField.svelte","common/svelte/Markdown.svelte"
"common/svelte/TextEditableField.svelte","common/svelte/SavingPlaceholder.svelte"
"common/svelte/TextEditableField.svelte","common/svelte/Icon.svelte"
"common/svelte/Toggle.svelte","common/svelte/Icon.svelte"
"common/svelte/Tooltip.svelte",
"common/svelte/UsageCharacteristicsDecorator.svelte","common/svelte/Icon.svelte"
"common/svelte/ViewLink.svelte",
"common/svelte/ViewLinkLabelled.svelte","common/svelte/EntityIcon.svelte"
"common/svelte/calendar-heatmap/CalendarHeatmap.svelte","common/svelte/calendar-heatmap/Month.svelte"
"common/svelte/calendar-heatmap/CalendarHeatmap.svelte","common/svelte/calendar-heatmap/CalendarHeatmapControlPanel.svelte"
"common/svelte/calendar-heatmap/CalendarHeatmapControlPanel.svelte","common/svelte/DatePicker.svelte"
"common/svelte/calendar-heatmap/CalendarHeatmapControlPanel.svelte","common/svelte/Icon.svelte"
"common/svelte/calendar-heatmap/Day.svelte",
"common/svelte/calendar-heatmap/Month.svelte","common/svelte/calendar-heatmap/Day.svelte"
"common/svelte/calendar-heatmap/Month.svelte","common/svelte/calendar-heatmap/Weeks.svelte"
"common/svelte/calendar-heatmap/Weeks.svelte",
"common/svelte/entity-pickers/AllocationSchemePicker.svelte","common/svelte/Grid.svelte"
"common/svelte/entity-pickers/AllocationSchemePicker.svelte","common/svelte/Icon.svelte"
"common/svelte/entity-pickers/AppGroupPicker.svelte","common/svelte/Icon.svelte"
"common/svelte/entity-pickers/AppGroupPicker.svelte","common/svelte/EntitySearchSelector.svelte"
"common/svelte/entity-pickers/AssessmentDefinitionPicker.svelte","common/svelte/Grid.svelte"
